text,intent
hey hello right now,GREETING
hey guru hello,GREETING
could you hello right now,GREETING
could you hello for me,GREETING
would you hello immediately,GREETING
hey guru hello right now,GREETING
can you hello for me,GREETING
would you hello for me,GREETING
guru please hello quickly,GREETING
guru hello for me,GREETING
please hello quickly,GREETING
listen guru hello quickly,GREETING
hey hello quickly,GREETING
hello quickly,GREETING
would you hello,GREETING
can you hello immediately,GREETING
could you hello quickly,GREETING
hey hello immediately,GREETING
could you hello please,GREETING
guru please hello for me,GREETING
listen guru hello for me,GREETING
guru hello quickly,GREETING
could you hello,GREETING
please hello immediately,GREETING
guru please hello please,GREETING
hello,GREETING
guru please hello immediately,GREETING
guru hello right now,GREETING
guru hello immediately,GREETING
hello right now,GREETING
guru please hello right now,GREETING
please hello please,GREETING
listen guru hello right now,GREETING
would you hello quickly,GREETING
can you hello,GREETING
could you hello immediately,GREETING
hello immediately,GREETING
listen guru hello please,GREETING
hey guru hello immediately,GREETING
hey hello for me,GREETING
listen guru hello,GREETING
hey hello,GREETING
please hello right now,GREETING
hey guru hello for me,GREETING
please hello,GREETING
hello for me,GREETING
listen guru hello immediately,GREETING
hello please,GREETING
please hello for me,GREETING
guru hello please,GREETING
can you hello right now,GREETING
would you hello please,GREETING
hey guru hello please,GREETING
would you hello right now,GREETING
hey hello please,GREETING
can you hello please,GREETING
beta hello,GREETING
hey guru hello quickly,GREETING
guru hello,GREETING
guru please hello,GREETING
can you hello quickly,GREETING
please hi quickly,GREETING
guru hi for me,GREETING
please hi for me,GREETING
could you hi immediately,GREETING
hi,GREETING
listen guru hi immediately,GREETING
please hi right now,GREETING
hey hi immediately,GREETING
hey guru hi for me,GREETING
guru please hi quickly,GREETING
hey guru hi quickly,GREETING
please do this hi,GREETING
could you hi for me,GREETING
would you hi for me,GREETING
hi please,GREETING
would you hi please,GREETING
guru please hi right now,GREETING
listen guru hi right now,GREETING
guru hi immediately,GREETING
would you hi quickly,GREETING
guru please hi,GREETING
hi immediately,GREETING
guru hi,GREETING
hey guru hi,GREETING
would you hi right now,GREETING
hey hi please,GREETING
hey guru hi right now,GREETING
can you hi immediately,GREETING
guru please hi immediately,GREETING
can you hi for me,GREETING
hey hi,GREETING
hey guru hi immediately,GREETING
hey hi right now,GREETING
can you hi right now,GREETING
